car_name,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,car_prices_in_rupee
Maruti Alto LX,"60,000 kms",Petrol,Manual,2nd Owner,2005,1998 cc,5 Seats,"65,000"
Volkswagen Vento Magnific 1.6 Highline,"40,000 kms",Petrol,Manual,1st Owner,2015,1373 cc,5 Seats,4.99 Lakh
BMW X1 sDrive20i xLine,"10,000 kms",Petrol,Automatic,1st Owner,2021,1061 cc,7 Seats,40 Lakh
Maruti Ertiga VXI,"40,000 kms",Petrol,Manual,2nd Owner,2015,1197 cc,5 Seats,5.95 Lakh
Maruti Zen Estilo 1.1 LX BSIII,"29,081 kms",Petrol,Manual,3rd Owner,2006,2179 cc,5 Seats,"89,000"
Hyundai Xcent 1.2 VTVT S,"30,000 kms",Petrol,Manual,1st Owner,2018,1984 cc,7 Seats,5.36 Lakh
Tata Hexa XT,"66,000 kms",Diesel,Manual,1st Owner,2017,1197 cc,5 Seats,10.95 Lakh
Audi Q5 2.0 TFSI Quattro,"80,000 kms",Petrol,Automatic,2nd Owner,2012,1198 cc,5 Seats,12 Lakh
Maruti Swift Dzire VXI,"6,200 kms",Petrol,Manual,1st Owner,2022,1998 cc,2 Seats,7.20 Lakh
Maruti Super Carry STD,"20,000 kms",Petrol,Manual,2nd Owner,2021,796 cc,4 Seats,4.70 Lakh
Mini 3 DOOR John Cooper Works 2019-2020,"40,000 kms",Petrol,Automatic,2nd Owner,2017,1197 cc,4 Seats,34.50 Lakh
Maruti 800 Std MPFi,"80,000 kms",Petrol,Manual,2nd Owner,2003,1599 cc,5 Seats,"65,000"
Maruti Baleno Delta,"20,000 kms",Petrol,Manual,1st Owner,2020,2400 cc,5 Seats,6.50 Lakh
Chevrolet Optra 1.6,"60,000 kms",Petrol,Manual,3rd Owner,2006,796 cc,5 Seats,1.50 Lakh
Volvo XC60 D5 Inscription,"34,000 kms",Diesel,Automatic,1st Owner,2019,2179 cc,4 Seats,54.50 Lakh
Maruti 800 DX 5 Speed,"30,000 kms",Petrol,Manual,1st Owner,2002,796 cc,7 Seats,"55,000"
Mahindra Scorpio S5 BSIV,"1,20,000 kms",Diesel,Manual,1st Owner,2019,1999 cc,4 Seats,11.50 Lakh
Maruti 800 Std,"50,000 kms",Petrol,Manual,4th Owner,2000,1197 cc,7 Seats,"45,000"
Land Rover Discovery Sport TD4 HSE 7S,"38,000 kms",Diesel,Automatic,1st Owner,2020,1799 cc,5 Seats,48.75 Lakh
Maruti Swift VXI with ABS,"85,000 kms",Petrol,Manual,2nd Owner,2006,998 cc,5 Seats,1.25 Lakh
Honda Civic ZX,"25,000 kms",Petrol,Automatic,1st Owner,2019,2925 cc,5 Seats,17 Lakh
Maruti Zen Estilo VXI BSIII,"1,20,000 kms",Petrol,Manual,2nd Owner,2007,1498 cc,5 Seats,"95,000"
Mercedes-Benz S-Class S 350d,"1,400 kms",Diesel,Automatic,1st Owner,2022,2499 cc,7 Seats,1.77 Crore
Honda BR-V i-DTEC E MT,"65,500 kms",Diesel,Manual,1st Owner,2017,1461 cc,7 Seats,6.50 Lakh
Chevrolet Tavera B2 8 Seats BSIII,"3,80,000 kms",Diesel,Manual,4th Owner,2008,998 cc,8 Seats,1.70 Lakh
Renault Lodgy Stepway Edition 8 Seater,"50,000 kms",Diesel,Manual,2nd Owner,2016,993 cc,5 Seats,7 Lakh
Maruti S-Presso VXI Plus 2019-2022,"40,000 kms",Petrol,Manual,1st Owner,2019,796 cc,5 Seats,3.90 Lakh
Maruti Zen LXI,"1,00,000 kms",Petrol,Manual,2nd Owner,2000,1396 cc,5 Seats,"39,000"
Maruti Alto 800 tour H1 (O),"5,000 kms",Petrol,Manual,1st Owner,2021,2523 cc,5 Seats,3.78 Lakh
Hyundai i20 Sportz 1.4 CRDi,"90,000 kms",Diesel,Manual,1st Owner,2016,998 cc,5 Seats,5.50 Lakh
Mahindra Marshal DI,"1,00,000 kms",Diesel,Manual,1st Owner,2004,2179 cc,8 Seats,4.90 Lakh
Maruti Alto K10 VXI,"50,000 kms",Petrol,Manual,3rd Owner,2018,2179 cc,8 Seats,2.90 Lakh
Mahindra Scorpio Sle,"1,10,000 kms",Diesel,Manual,4th Owner,2010,1461 cc,5 Seats,3.50 Lakh
Mahindra Scorpio VLS AT 2.2 mHAWK,"1,20,000 kms",Diesel,Automatic,2nd Owner,2012,998 cc,5 Seats,4.80 Lakh
Renault Duster 85PS Diesel RxL,"1,16,000 kms",Diesel,Manual,1st Owner,2015,1968 cc,5 Seats,4.75 Lakh
Maruti Wagon R AMT VXI,"25,000 kms",Petrol,Automatic,1st Owner,2017,2523 cc,7 Seats,4.26 Lakh
Skoda Octavia 2.0 TDI AT Style Plus,"75,000 kms",Diesel,Automatic,2nd Owner,2017,1299 cc,5 Seats,14 Lakh
Mahindra Bolero SLX 2WD BSIII,"1,20,000 kms",Diesel,Manual,4th Owner,2013,1061 cc,5 Seats,4 Lakh
Ford Ikon 1.3 CLXi,"70,000 kms",Petrol,Manual,2nd Owner,2004,796 cc,5 Seats,1.20 Lakh
Maruti Wagon R LXI Minor,"90,000 kms",Petrol,Manual,1st Owner,2009,799 cc,5 Seats,1.60 Lakh
Maruti Alto LX BSIII,"1,20,000 kms",Petrol,Manual,4th Owner,2010,1493 cc,5 Seats,1 Lakh
Renault KWID RXT,"25,000 kms",Petrol,Manual,1st Owner,2020,1196 cc,7 Seats,4.30 Lakh
Honda City 1.5 EXI,"2,63,000 kms",Petrol,Manual,1st Owner,2004,998 cc,5 Seats,1.75 Lakh
Maruti Eeco 7 Seater Standard BSIV,"1,10,000 kms",Petrol,Manual,1st Owner,2017,1061 cc,5 Seats,2.70 Lakh
Maruti Wagon R VXI Optional,"10,000 kms",Petrol,Manual,3rd Owner,2018,1248 cc,5 Seats,4 Lakh
Maruti Wagon R LX Minor Duo LPG,"1,37,535 kms",Lpg,Manual,1st Owner,2007,1196 cc,5 Seats,1 Lakh
Maruti Swift VDI Optional,"90,000 kms",Diesel,Manual,2nd Owner,2015,1956 cc,5 Seats,3.70 Lakh
Maruti Eeco CNG 5 Seater AC,"35,000 kms",Cng,Manual,1st Owner,2021,1196 cc,5 Seats,4.03 Lakh
Jeep Compass 2.0 Limited,"40,000 kms",Diesel,Manual,1st Owner,2019,1582 cc,5 Seats,16 Lakh
Maruti Eeco 5 Seater STD 2020-2022,"39,000 kms",Petrol,Manual,1st Owner,2020,1582 cc,5 Seats,5.20 Lakh
Hyundai Creta 1.6 SX Automatic Diesel,"73,200 kms",Diesel,Automatic,1st Owner,2018,998 cc,5 Seats,15.90 Lakh
Hyundai Verna 1.6 CRDi SX,"88,500 kms",Diesel,Manual,1st Owner,2017,1197 cc,5 Seats,9.90 Lakh
Maruti Alto K10 VXI,"49,000 kms",Petrol,Manual,1st Owner,2018,1497 cc,5 Seats,3.60 Lakh
Hyundai i20 Asta Option,"45,000 kms",Petrol,Manual,1st Owner,2018,1498 cc,5 Seats,7.40 Lakh
Honda City GXi,"1,14,862 kms",Petrol,Manual,1st Owner,2008,1199 cc,5 Seats,1.81 Lakh
Honda City i DTEC V,"1,47,947 kms",Diesel,Manual,1st Owner,2015,1061 cc,5 Seats,9.50 Lakh
Honda Amaze VX CVT,"4,391 kms",Petrol,Automatic,1st Owner,2022,1198 cc,5 Seats,9.47 Lakh
Maruti Wagon R LXI Minor Duo LPG,"1,15,549 kms",Lpg,Manual,1st Owner,2007,1598 cc,5 Seats,"63,803"
Honda Amaze SX i-VTEC,"38,738 kms",Petrol,Manual,1st Owner,2016,1462 cc,5 Seats,4.45 Lakh
Maruti SX4 S Cross DDiS 320 Delta,"85,762 kms",Diesel,Manual,1st Owner,2015,1497 cc,5 Seats,6.35 Lakh
Toyota Urban cruiser Mid,"27,987 kms",Petrol,Manual,1st Owner,2022,1197 cc,5 Seats,7.82 Lakh
Honda City 1.5 V MT,"1,41,918 kms",Petrol,Manual,1st Owner,2010,1120 cc,5 Seats,3.02 Lakh
Maruti Baleno Zeta,"39,558 kms",Petrol,Manual,1st Owner,2021,1248 cc,5 Seats,7.23 Lakh
Hyundai Grand i10 CRDi Asta Option,"68,456 kms",Diesel,Manual,2nd Owner,2013,998 cc,5 Seats,3.44 Lakh
Maruti Swift VDI,"86,000 kms",Diesel,Manual,1st Owner,2011,796 cc,5 Seats,3.40 Lakh
Maruti S-Presso VXI Plus 2019-2022,"29,782 kms",Petrol,Manual,1st Owner,2021,1248 cc,5 Seats,4.40 Lakh
Maruti Alto LX,"95,046 kms",Petrol,Manual,2nd Owner,2011,2179 cc,8 Seats,1.15 Lakh
Maruti Ciaz ZDi Plus SHVS,"1,33,053 kms",Diesel,Manual,1st Owner,2016,1198 cc,5 Seats,4.96 Lakh
Mahindra Scorpio VLX 2WD AT BSIV,"1,51,537 kms",Diesel,Automatic,2nd Owner,2013,796 cc,8 Seats,4.62 Lakh
Honda Amaze S i-VTEC,"91,437 kms",Petrol,Manual,1st Owner,2017,2143 cc,5 Seats,4.40 Lakh
Maruti Omni E MPI STD BSIV,"11,615 kms",Petrol,Manual,1st Owner,2015,1197 cc,5 Seats,1.78 Lakh
Mercedes-Benz E-Class E250 CDI Avantgarde,"85,471 kms",Diesel,Automatic,2nd Owner,2012,1396 cc,5 Seats,11.21 Lakh
Hyundai i20 Sportz 1.2,"82,591 kms",Petrol,Manual,1st Owner,2013,1461 cc,5 Seats,3.40 Lakh
Hyundai i20 1.4 Asta Option,"73,000 kms",Diesel,Manual,1st Owner,2017,1495 cc,5 Seats,7.25 Lakh
Renault Duster 110PS Diesel RxZ Plus,"68,000 kms",Diesel,Manual,1st Owner,2012,1497 cc,5 Seats,4.21 Lakh
Hyundai Accent Executive LPG,"73,592 kms",Lpg,Manual,2nd Owner,2010,1248 cc,5 Seats,1.28 Lakh
Honda City 1.5 S MT,"1,14,361 kms",Petrol,Manual,5th Owner,2009,1198 cc,5 Seats,2.48 Lakh
Maruti Ciaz ZDi,"84,193 kms",Diesel,Manual,2nd Owner,2014,1497 cc,5 Seats,5.16 Lakh
Volkswagen Ameo 1.2 MPI Highline Plus,"57,000 kms",Petrol,Manual,2nd Owner,2017,1462 cc,5 Seats,5.25 Lakh
Honda City i VTEC VX,"48,727 kms",Petrol,Manual,1st Owner,2014,1199 cc,5 Seats,5.93 Lakh
Maruti Brezza Zxi,"6,510 kms",Petrol,Manual,1st Owner,2022,1598 cc,5 Seats,10.43 Lakh
Honda Amaze S Petrol,"33,088 kms",Petrol,Manual,1st Owner,2021,1197 cc,5 Seats,6.65 Lakh
Skoda Rapid 1.6 TDI Elegance,"1,51,434 kms",Diesel,Manual,3rd Owner,2011,1598 cc,5 Seats,2.45 Lakh
Maruti Swift Dzire VXI 1.2,"21,166 kms",Petrol,Manual,1st Owner,2017,1086 cc,5 Seats,5.47 Lakh
Volkswagen Vento Diesel Trendline,"1,06,647 kms",Diesel,Manual,2nd Owner,2012,1197 cc,5 Seats,2.51 Lakh
Hyundai i10 Sportz 1.1L,"37,930 kms",Petrol,Manual,4th Owner,2014,2494 cc,8 Seats,2.76 Lakh
Hyundai Grand i10 Magna,"1,28,281 kms",Petrol,Manual,1st Owner,2014,1198 cc,5 Seats,3.01 Lakh
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,"1,68,062 kms",Diesel,Manual,3rd Owner,2010,2489 cc,7 Seats,4.69 Lakh
Nissan Micra XL Option CVT,"13,333 kms",Petrol,Automatic,1st Owner,2019,1968 cc,5 Seats,4.93 Lakh
Mahindra Xylo D4,"1,51,026 kms",Diesel,Manual,2nd Owner,2014,1598 cc,5 Seats,2.59 Lakh
Skoda Superb Elegance 2.0 TDI CR AT,"1,34,521 kms",Diesel,Automatic,2nd Owner,2011,1995 cc,5 Seats,3.93 Lakh
Skoda Rapid 1.6 TDI Elegance,"1,32,996 kms",Diesel,Manual,2nd Owner,2012,1498 cc,5 Seats,2.90 Lakh
BMW X4 M Sport X xDrive20d,"29,000 kms",Diesel,Automatic,1st Owner,2019,1598 cc,5 Seats,56.50 Lakh
Honda City ZX MT,"19,534 kms",Petrol,Manual,1st Owner,2020,998 cc,5 Seats,12.92 Lakh
Skoda Rapid 1.6 MPI Ambition BSIV,"88,673 kms",Petrol,Manual,1st Owner,2019,1198 cc,5 Seats,6.44 Lakh
Hyundai i20 Asta Opt Turbo DCT,"32,272 kms",Petrol,Automatic,1st Owner,2020,1086 cc,5 Seats,10.93 Lakh
Volkswagen Polo 1.2 MPI Trendline,"26,850 kms",Petrol,Manual,2nd Owner,2017,814 cc,5 Seats,4.33 Lakh
Hyundai i10 Era 1.1,"1,20,426 kms",Petrol,Manual,4th Owner,2009,1598 cc,5 Seats,"98,497"
Hyundai EON Era Plus,"21,796 kms",Petrol,Manual,1st Owner,2015,1496 cc,5 Seats,2.46 Lakh
Volkswagen Vento Diesel Comfortline,"1,18,881 kms",Diesel,Manual,1st Owner,2012,1197 cc,5 Seats,2.69 Lakh
Toyota Yaris G BSIV,"32,039 kms",Petrol,Manual,2nd Owner,2018,2179 cc,7 Seats,7.75 Lakh
Maruti Baleno 1.2 Alpha,"1,24,763 kms",Petrol,Manual,1st Owner,2017,2179 cc,7 Seats,5.37 Lakh
Mahindra Scorpio S8 7C Seater,"2,01,197 kms",Diesel,Manual,3rd Owner,2015,1197 cc,5 Seats,6.95 Lakh
Mahindra XUV500 W10 2WD,"81,672 kms",Diesel,Manual,2nd Owner,2015,998 cc,5 Seats,8.51 Lakh
Maruti Swift Dzire VXI,"20,248 kms",Petrol,Manual,1st Owner,2021,998 cc,5 Seats,7.32 Lakh
Maruti Wagon R VXI BS IV,"73,639 kms",Petrol,Manual,1st Owner,2012,1198 cc,5 Seats,2.21 Lakh
Maruti Wagon R VXI BS IV,"82,028 kms",Petrol,Manual,2nd Owner,2010,1248 cc,5 Seats,1.55 Lakh
Honda Amaze S i-Vtech,"32,375 kms",Petrol,Manual,4th Owner,2016,2179 cc,5 Seats,3.87 Lakh
Maruti Ciaz ZDi Plus,"1,82,048 kms",Diesel,Manual,1st Owner,2015,2393 cc,8 Seats,4.75 Lakh
Land Rover Freelander 2 SE,"1,58,108 kms",Diesel,Automatic,1st Owner,2014,999 cc,5 Seats,13.28 Lakh
Toyota Innova Crysta 2.4 G MT 8S BSIV,"74,176 kms",Diesel,Manual,1st Owner,2016,998 cc,5 Seats,11.30 Lakh
Skoda Rapid 1.0 TSI Ambition,"17,805 kms",Petrol,Manual,2nd Owner,2020,1061 cc,5 Seats,9.04 Lakh
Maruti Zen Estilo LXI BS IV,"1,05,209 kms",Petrol,Manual,1st Owner,2009,1248 cc,5 Seats,1.31 Lakh
Maruti Wagon R LXI Minor Duo LPG,"72,792 kms",Lpg,Manual,1st Owner,2008,1956 cc,5 Seats,"98,429"
Maruti Swift LDI BSIV,"93,411 kms",Diesel,Manual,2nd Owner,2014,1396 cc,5 Seats,3.70 Lakh
Tata Harrier XZ Dark Edition BSIV,"51,954 kms",Diesel,Manual,1st Owner,2019,1197 cc,5 Seats,14.52 Lakh
Hyundai Verna 1.4 EX,"1,99,085 kms",Diesel,Manual,1st Owner,2013,1120 cc,5 Seats,3.86 Lakh
Maruti Swift Dzire 1.2 Vxi BSIV,"2,13,709 kms",Petrol,Manual,1st Owner,2011,936 cc,5 Seats,2.47 Lakh
Hyundai Grand i10 CRDi Magna,"1,34,698 kms",Diesel,Manual,1st Owner,2013,1197 cc,5 Seats,2.65 Lakh
Chevrolet Beat Diesel PS,"82,983 kms",Diesel,Manual,1st Owner,2012,624 cc,4 Seats,1.07 Lakh
Hyundai Grand i10 Magna,"81,678 kms",Petrol,Manual,1st Owner,2013,2498 cc,6 Seats,2.96 Lakh
Tata Nano Twist XT,"50,789 kms",Petrol,Manual,2nd Owner,2014,1497 cc,5 Seats,"86,503"
Mahindra Thar CRDe,"46,994 kms",Diesel,Manual,1st Owner,2018,2179 cc,7 Seats,7.82 Lakh
Honda City i VTEC VX Option,"19,528 kms",Petrol,Manual,1st Owner,2016,1497 cc,5 Seats,7.29 Lakh
Tata Hexa XE,"68,315 kms",Diesel,Manual,2nd Owner,2017,1248 cc,5 Seats,7.25 Lakh
Ford Ecosport 1.5 Petrol Trend BSIV,"69,720 kms",Petrol,Manual,1st Owner,2017,1061 cc,5 Seats,5.82 Lakh
Maruti SX4 S Cross DDiS 200 Sigma,"1,10,655 kms",Diesel,Manual,1st Owner,2016,1396 cc,5 Seats,5.15 Lakh
Maruti Wagon R LXI Minor Duo LPG,"87,100 kms",Lpg,Manual,2nd Owner,2009,1399 cc,5 Seats,1.07 Lakh
Hyundai i20 Sportz 1.4 CRDi,"1,24,012 kms",Diesel,Manual,2nd Owner,2013,1299 cc,5 Seats,3.19 Lakh
Ford Figo Diesel ZXI,"92,251 kms",Diesel,Manual,2nd Owner,2010,1498 cc,7 Seats,1.34 Lakh
Ford Ikon 1.3 Flair,"61,127 kms",Petrol,Manual,2nd Owner,2008,1197 cc,5 Seats,"80,902"
Honda Mobilio V i-DTEC,"1,41,083 kms",Diesel,Manual,1st Owner,2014,1248 cc,5 Seats,3.99 Lakh
Maruti Swift LXI BSIV,"61,802 kms",Petrol,Manual,2nd Owner,2014,1197 cc,5 Seats,3.25 Lakh
Chevrolet Sail Hatchback 1.3 TCDi,"1,47,215 kms",Diesel,Manual,3rd Owner,2015,998 cc,5 Seats,2.31 Lakh
Maruti Ignis 1.2 Delta BSIV,"74,295 kms",Petrol,Manual,1st Owner,2017,1248 cc,5 Seats,4.43 Lakh
Maruti Wagon R VXI BS IV,"66,290 kms",Petrol,Manual,2nd Owner,2017,1197 cc,5 Seats,3.49 Lakh
Maruti Vitara Brezza ZDi Plus Dual Tone,"92,485 kms",Diesel,Manual,1st Owner,2018,1086 cc,5 Seats,8.22 Lakh
Maruti Baleno 1.2 Delta,"57,563 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats,5.36 Lakh
Hyundai i10 Magna 1.1L,"30,675 kms",Petrol,Manual,1st Owner,2011,1199 cc,5 Seats,2.25 Lakh
Maruti Swift Dzire VXI,"58,835 kms",Petrol,Manual,1st Owner,2013,1582 cc,5 Seats,3.37 Lakh
Volkswagen Polo Diesel Comfortline 1.2L,"1,22,571 kms",Diesel,Manual,3rd Owner,2013,1399 cc,5 Seats,2.58 Lakh
Hyundai Verna 1.6 SX,"1,16,064 kms",Diesel,Manual,2nd Owner,2013,5461 cc,5 Seats,4.07 Lakh
Ford Classic 1.4 Duratorq Titanium,"1,28,396 kms",Diesel,Manual,1st Owner,2012,3996 cc,4 Seats,1.58 Lakh
Mercedes-Benz G G63 AMG,"47,000 kms",Petrol,Automatic,2nd Owner,2017,1199 cc,5 Seats,1.52 Crore
Porsche Panamera GTS,"10,000 kms",Petrol,Automatic,1st Owner,2019,1950 cc,5 Seats,1.75 Crore
Chevrolet Beat LT,"37,275 kms",Petrol,Manual,1st Owner,2014,1950 cc,5 Seats,2.55 Lakh
Mercedes-Benz E-Class Exclusive E 220 d BSIV,"44,000 kms",Diesel,Automatic,1st Owner,2017,1086 cc,5 Seats,44 Lakh
Mercedes-Benz E-Class Exclusive E 220 d BSIV,"39,000 kms",Diesel,Automatic,1st Owner,2017,1991 cc,5 Seats,43.50 Lakh
Hyundai Santro Xing XG,"97,767 kms",Petrol,Manual,5th Owner,2005,1198 cc,5 Seats,"84,637"
Mercedes-Benz GLC 200,"32,000 kms",Petrol,Automatic,1st Owner,2020,1248 cc,5 Seats,56.50 Lakh
Honda Amaze S i-VTEC,"53,931 kms",Petrol,Manual,1st Owner,2018,1199 cc,5 Seats,5 Lakh
Fiat Avventura MULTIJET Active,"73,818 kms",Diesel,Manual,1st Owner,2014,2498 cc,6 Seats,3.47 Lakh
Honda Jazz 1.2 V AT i VTEC,"27,200 kms",Petrol,Automatic,1st Owner,2017,1462 cc,5 Seats,6.90 Lakh
Mahindra Thar CRDe,"46,365 kms",Diesel,Manual,1st Owner,2017,1461 cc,5 Seats,7.72 Lakh
Maruti Ciaz Alpha BSIV,"82,496 kms",Petrol,Manual,1st Owner,2019,1248 cc,5 Seats,8.72 Lakh
Renault Duster 110PS Diesel RxL AMT,"73,656 kms",Diesel,Automatic,1st Owner,2016,1493 cc,7 Seats,6.51 Lakh
Maruti Ciaz ZDi SHVS,"92,530 kms",Diesel,Manual,1st Owner,2016,1368 cc,5 Seats,5.43 Lakh
Mahindra TUV 300 mHAWK100 T8,"68,364 kms",Diesel,Manual,2nd Owner,2017,1197 cc,5 Seats,6.58 Lakh
Jeep Compass 1.4 Sport,"30,224 kms",Petrol,Manual,1st Owner,2018,1462 cc,5 Seats,12.61 Lakh
Maruti Baleno 1.2 Alpha,"88,658 kms",Petrol,Manual,1st Owner,2017,2498 cc,6 Seats,5.85 Lakh
Maruti Vitara Brezza ZXI,"26,396 kms",Petrol,Manual,1st Owner,2020,998 cc,5 Seats,10.53 Lakh
Mahindra Thar CRDe,"60,020 kms",Diesel,Manual,1st Owner,2017,1462 cc,5 Seats,7.46 Lakh
Maruti Alto K10 2010-2014 VXI,"55,107 kms",Petrol,Manual,1st Owner,2014,796 cc,5 Seats,2.68 Lakh
Maruti Ciaz Alpha AT,"3,925 kms",Petrol,Automatic,1st Owner,2022,1197 cc,5 Seats,12.43 Lakh
Maruti Alto 800 LXI,"21,949 kms",Petrol,Manual,1st Owner,2017,1995 cc,5 Seats,3.23 Lakh
Maruti Swift Dzire VXI,"41,899 kms",Petrol,Manual,1st Owner,2016,2400 cc,5 Seats,5 Lakh
BMW 5 Series 520d Luxury Line,"43,000 kms",Diesel,Automatic,1st Owner,2019,1950 cc,5 Seats,46 Lakh
Volvo XC60 D5 Inscription,"20,000 kms",Diesel,Automatic,1st Owner,2021,1968 cc,5 Seats,61 Lakh
Mercedes-Benz GLC 220d 4MATIC,"24,000 kms",Diesel,Automatic,1st Owner,2020,2987 cc,5 Seats,56.50 Lakh
Audi Q3 35 TDI Quattro Premium Plus,"39,356 kms",Diesel,Automatic,1st Owner,2015,2143 cc,5 Seats,17.50 Lakh
Mercedes-Benz S-Class S 350 CDI,"18,000 kms",Diesel,Automatic,1st Owner,2017,998 cc,5 Seats,71.50 Lakh
Mercedes-Benz C-Class 220 CDI AT,"40,000 kms",Diesel,Automatic,1st Owner,2013,1248 cc,5 Seats,13.75 Lakh
Maruti Alto K10 VXI,"30,555 kms",Petrol,Manual,1st Owner,2016,1197 cc,5 Seats,3.15 Lakh
Maruti Ciaz VDi Plus SHVS,"1,19,878 kms",Diesel,Manual,1st Owner,2015,1248 cc,5 Seats,4.78 Lakh
Hyundai i20 1.2 Magna Opt,"84,557 kms",Petrol,Manual,1st Owner,2011,1997 cc,7 Seats,2.43 Lakh
Maruti Ciaz VDi Option SHVS,"96,528 kms",Diesel,Manual,1st Owner,2017,999 cc,5 Seats,5.36 Lakh
Mahindra XUV500 W10 1.99 mHawk,"44,081 kms",Diesel,Manual,1st Owner,2017,1248 cc,5 Seats,11.24 Lakh
Renault Kiger RXT AMT,"6,494 kms",Petrol,Automatic,1st Owner,2021,998 cc,5 Seats,7.75 Lakh
Maruti Swift VDI BSIV,"1,18,631 kms",Diesel,Manual,1st Owner,2014,1198 cc,5 Seats,3.40 Lakh
Maruti Alto K10 VXI,"47,133 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats,3.51 Lakh
Honda Amaze S i-VTEC,"94,025 kms",Petrol,Manual,1st Owner,2017,998 cc,5 Seats,4.56 Lakh
Hyundai i20 Magna 1.2,"68,841 kms",Petrol,Manual,1st Owner,2016,1582 cc,5 Seats,5.02 Lakh
Hyundai Venue SX Plus Turbo DCT BSIV,"31,952 kms",Petrol,Automatic,1st Owner,2019,998 cc,5 Seats,10.46 Lakh
Hyundai Creta 1.6 CRDi SX,"66,518 kms",Diesel,Manual,2nd Owner,2019,1582 cc,5 Seats,11.30 Lakh
Hyundai Venue SX Plus Turbo DCT BSIV,"26,684 kms",Petrol,Automatic,2nd Owner,2019,1199 cc,5 Seats,10.53 Lakh
Hyundai Creta 1.6 CRDi SX,"38,280 kms",Diesel,Manual,1st Owner,2015,1197 cc,5 Seats,7.90 Lakh
Tata Tiago 1.2 Revotron XZ,"96,392 kms",Petrol,Manual,1st Owner,2017,2179 cc,7 Seats,3.77 Lakh
Maruti Swift Dzire 1.2 ZXi BSIV,"92,613 kms",Petrol,Manual,1st Owner,2011,1498 cc,5 Seats,2.86 Lakh
Mahindra Scorpio S7 120,"40,011 kms",Diesel,Manual,1st Owner,2018,1396 cc,5 Seats,11.78 Lakh
Honda City i DTEC VX,"98,772 kms",Diesel,Manual,2nd Owner,2015,1248 cc,5 Seats,5.33 Lakh
Hyundai i20 Asta 1.4 CRDi,"38,931 kms",Diesel,Manual,1st Owner,2013,1396 cc,5 Seats,3.50 Lakh
Maruti Swift LDI BSIV,"82,392 kms",Diesel,Manual,1st Owner,2017,2179 cc,7 Seats,4.27 Lakh
Hyundai i20 1.4 Asta,"96,805 kms",Diesel,Manual,1st Owner,2017,998 cc,5 Seats,5.72 Lakh
Mahindra Scorpio S5 BSIV,"68,307 kms",Diesel,Manual,1st Owner,2018,1197 cc,5 Seats,9.98 Lakh
Maruti Wagon R LXI BS IV,"30,404 kms",Petrol,Manual,1st Owner,2016,1248 cc,5 Seats,3.75 Lakh
Maruti Baleno 1.2 Alpha,"36,438 kms",Petrol,Manual,2nd Owner,2018,2179 cc,7 Seats,6.30 Lakh
Maruti Swift VDI BSIV,"1,15,206 kms",Diesel,Manual,1st Owner,2015,1451 cc,5 Seats,3.76 Lakh
Mahindra XUV500 W6 2WD,"1,04,537 kms",Diesel,Manual,1st Owner,2015,2755 cc,7 Seats,6.23 Lakh
MG Hector Sharp DCT,"29,827 kms",Petrol,Automatic,2nd Owner,2019,1968 cc,5 Seats,16.13 Lakh
Toyota Innova Crysta 2.8 GX AT BSIV,"55,000 kms",Diesel,Automatic,1st Owner,2017,3198 cc,7 Seats,15.75 Lakh
Audi A6 35 TDI,"68,000 kms",Diesel,Automatic,1st Owner,2016,2755 cc,7 Seats,24.50 Lakh
Ford Endeavour 3.2 Titanium AT 4X4,"80,000 kms",Diesel,Automatic,1st Owner,2018,814 cc,5 Seats,28.75 Lakh
Toyota Innova Crysta 2.8 GX AT BSIV,"55,000 kms",Diesel,Automatic,1st Owner,2019,1497 cc,5 Seats,19.45 Lakh
Hyundai EON Era Plus,"67,885 kms",Petrol,Manual,1st Owner,2013,998 cc,5 Seats,2.30 Lakh
Kia Seltos HTX IVT G,"28,000 kms",Petrol,Automatic,1st Owner,2021,1197 cc,5 Seats,16.50 Lakh
Hyundai EON 1.0 Era Plus,"48,421 kms",Petrol,Manual,1st Owner,2013,1582 cc,5 Seats,2.30 Lakh
Maruti Swift Dzire VXI,"49,000 kms",Petrol,Manual,1st Owner,2014,1995 cc,5 Seats,4.25 Lakh
Hyundai Verna 1.6 SX,"75,000 kms",Diesel,Manual,1st Owner,2013,1198 cc,5 Seats,4.50 Lakh
BMW 5 Series 520d Sport Line,"55,000 kms",Diesel,Automatic,2nd Owner,2018,1493 cc,5 Seats,40.50 Lakh
Honda Amaze S Option i-VTEC,"6,357 kms",Petrol,Manual,1st Owner,2017,1199 cc,5 Seats,4.71 Lakh
Hyundai Venue SX Opt Executive Diesel,"24,237 kms",Diesel,Manual,1st Owner,2022,2755 cc,7 Seats,10.24 Lakh
Honda Amaze E Petrol,"10,282 kms",Petrol,Manual,1st Owner,2020,1396 cc,5 Seats,5.89 Lakh
Toyota Innova Crysta 2.8 ZX AT BSIV,"1,11,337 kms",Diesel,Automatic,1st Owner,2018,1582 cc,5 Seats,17.10 Lakh
Hyundai Venue SX Opt Diesel BSIV,"64,104 kms",Diesel,Manual,1st Owner,2019,1968 cc,5 Seats,9.82 Lakh
